time;decoding-1 [ms];roundtrip_time [ms];bitrate [b/s];render-1 [ms];fps-1
29793;1.51;0;85366;6.77;34
34792;0.97;0;678763;0.52;30
39792;0.84;0;683162;0.47;30
44791;0.85;1;678722;0.46;30
49798;0.85;0;682303;0.43;30
54792;0.89;1;679388;0.41;30
59792;0.79;0;665224;0.41;30
64791;0.81;0;678695;0.38;30
69792;0.8;0;683176;0.36;30
74792;0.79;0;678695;0.37;30
79792;0.76;1;683040;0.36;30
84792;0.76;0;678641;0.36;30
89793;0.77;1;683135;0.35;30
94792;0.78;0;678627;0.36;30
99793;0.8;0;683162;0.35;30
104793;0.81;1;683203;0.33;30
109792;0.84;1;678736;0.34;30
114793;0.8;0;683108;0.34;30
119792;0.83;1;678614;0.34;30
124793;0.78;1;678519;0.34;30
129793;0.8;0;683149;0.33;30
134792;0.8;1;683395;0.32;30
139792;0.79;0;678668;0.34;30
144792;0.81;0;683067;0.34;30
149792;0.84;0;678695;0.34;30
154792;0.84;0;683135;0.33;30
159792;0.82;1;678668;0.33;30
164792;0.84;1;683135;0.33;30
169792;0.81;0;678668;0.34;30
174792;0.78;1;683190;0.33;30
179792;0.81;0;678519;0.33;30
184792;0.81;1;683285;0.34;30
189791;0.81;0;678654;0.33;30
194796;0.84;1;682535;0.33;30
199792;0.86;1;679075;0.33;30
204792;0.85;0;683176;0.32;30
209792;0.85;1;678587;0.35;30
214791;0.84;0;683367;0.32;30
219792;0.86;0;678600;0.35;30
224792;0.82;0;683149;0.33;30
229791;0.83;1;678627;0.33;30
234793;0.82;0;683040;0.32;30
239793;0.82;0;678668;0.34;30
244792;0.8;0;683272;0.33;30
249792;0.83;0;678627;0.34;30
254794;0.83;0;682958;0.32;30
259794;0.83;0;682876;0.34;30
264793;0.87;1;679103;0.33;30
269793;0.84;1;683149;0.35;30
274792;0.87;0;678682;0.33;30
279792;0.87;1;683217;0.34;30
284792;0.85;1;678546;0.32;30
289792;0.81;1;683012;0.32;30
294800;0.84;0;677787;0.33;30
299792;0.9;1;684189;0.32;30
304793;0.85;0;678654;0.33;30
309792;0.85;0;683217;0.33;30
314792;0.85;0;678559;0.34;30
319792;0.83;0;683258;0.33;30
324792;0.84;0;678532;0.33;30
329792;0.85;1;683176;0.33;30
334792;0.87;0;678641;0.34;30
339792;0.85;0;683176;0.33;30
344793;0.84;0;678410;0.33;30
349792;0.83;1;683463;0.34;30
354802;0.82;0;681432;0.33;30
359795;0.84;0;679837;0.33;30
364793;0.85;0;678994;0.34;30
369793;0.83;0;683299;0.33;30
374798;0.84;0;682303;0.33;30
379793;0.84;1;679375;0.33;30
384794;0.83;0;678573;0.34;30
389793;0.83;1;683272;0.33;30
394796;0.87;0;682507;0.33;30
399793;0.82;1;679375;0.33;30
404792;0.86;0;678682;0.33;30
409793;0.86;1;682985;0.32;30
414794;0.86;0;678641;0.34;30
419793;0.87;1;683176;0.33;30
424793;0.87;0;678709;0.34;30
429792;0.84;1;683231;0.33;30
434793;0.83;0;678492;0.33;30
439793;0.86;1;683231;0.33;30
444792;0.9;0;678722;0.32;30
449792;0.9;0;683135;0.33;30
454792;0.87;0;683258;0.34;30
459793;0.85;0;678492;0.34;30
464792;0.86;1;678627;0.32;30
469792;0.84;1;683176;0.34;30
474792;0.84;1;678682;0.33;30
479792;0.84;0;683203;0.34;30
484792;0.88;1;683203;0.33;30
489795;0.87;1;678288;0.33;30
494792;0.87;0;678967;0.33;30
499793;0.9;1;682999;0.33;30
504792;0.88;0;678790;0.32;30
509794;0.85;0;682917;0.34;30
514792;0.86;1;683408;0.35;30
519792;0.86;1;678587;0.33;30
524793;0.89;1;683176;0.33;30
529792;0.86;0;678695;0.32;30
534793;0.82;0;683012;0.33;30
539792;0.85;0;678763;0.33;30
544793;0.87;1;683053;0.33;30
549793;0.89;1;678668;0.34;30
554800;0.87;0;682180;0.34;30
559793;0.87;0;679660;0.34;30
564805;0.86;0;681391;0.34;30
569792;0.87;1;680546;0.35;30
574792;0.83;1;683053;0.33;30
579793;0.86;0;682780;0.33;30
584792;0.84;1;679007;0.33;30
589793;0.86;1;682971;0.32;30
594794;0.85;1;678614;0.33;30
599793;0.83;0;678736;0.32;30
604792;0.85;1;683272;0.33;30
609792;0.87;1;683190;0.33;30
614795;0.85;0;678139;0.33;30
619796;0.85;0;683121;0.33;30
624792;0.85;0;679171;0.33;30
629792;0.84;0;683135;0.32;30
634792;0.89;0;678682;0.33;30
639792;0.87;0;683121;0.33;30
644792;0.88;1;678654;0.35;30
649792;0.85;1;683080;0.33;30
654793;0.87;0;678614;0.33;30
659792;0.85;1;683367;0.34;30
