time,encoding-0 [ms],roundtrip_time [ms],bitrate [b/s]
15943,162.48,0,-451578
20947,8.89,1,0
25944,9.05,1,0
30942,9.4,0,0
35953,8.83,0,0
40942,8.86,1,0
45941,8.9,0,0
50948,8.94,0,0
55946,9.13,0,0
60959,9.03,1,0
65941,8.56,0,0
70955,8.68,0,0
75940,8.73,0,0
80960,8.99,1,0
85945,8.9,0,0
90955,8.91,0,0
95941,8.82,1,0
100964,9.1,1,0
105941,8.61,0,0
110957,8.99,1,0
115948,9.05,0,0
120961,9.08,1,0
125942,8.77,1,0
130959,8.77,0,0
135942,8.69,1,0
140952,8.96,1,0
145941,9.02,0,0
150956,9.09,0,0
155942,8.85,0,0
160945,8.97,1,0
165942,8.84,0,0
170946,8.91,0,0
175942,9.03,0,0
180946,9.17,0,0
185942,8.97,0,0
190944,9.12,0,0
195945,8.82,1,0
200942,8.76,1,0
205941,8.7,1,0
210944,9.16,0,0
215941,9.33,1,0
220942,8.83,0,0
225959,8.64,0,0
230943,6.83,0,0
235963,8.97,1,0
240948,9.08,0,0
245961,8.95,0,0
250942,8.5,1,0
255957,9.08,1,0
260941,8.91,0,0
265953,9.06,1,0
270947,9.19,0,0
275952,8.82,0,0
280941,8.69,0,0
285951,8.61,0,0
290941,8.76,0,0
295956,9.09,0,0
300943,9.12,0,0
305961,9.22,0,0
310940,9,1,0
315947,8.97,0,0
320941,8.77,0,0
325950,8.91,0,0
330942,9.11,0,0
335945,9.28,0,0
340940,8.84,0,0
345951,8.93,0,0
350941,8.71,1,0
355944,9.15,1,0
360941,9.17,0,0
365942,9.11,1,0
370942,8.89,1,0
375943,8.68,0,0
380942,8.75,1,0
385942,9.05,0,0
390958,9.25,1,0
395942,8.88,1,0
400955,8.96,1,0
405941,8.78,0,0
410958,8.88,0,0
415941,8.88,1,0
420955,9.08,1,0
425943,9.26,0,0
430952,8.83,1,0
435941,8.66,0,0
440951,8.91,1,0
445941,8.98,0,0
450952,8.69,1,0
455948,9.07,1,0
460948,8.92,0,0
465941,9.08,0,0
470948,8.85,0,0
475941,8.85,1,0
480949,9.03,0,0
485941,9.31,1,0
490945,8.93,0,0
495949,8.98,1,0
500945,8.83,0,0
505941,8.84,0,0
510946,9.2,0,0
515941,8.82,0,0
520952,9.27,0,0
525941,9,1,0
530941,9,0,0
535948,8.97,0,0
540950,9.36,1,0
545941,9.13,0,0
550941,9.13,1,0
555970,8.95,0,0
560942,8.7,0,0
565957,8.74,1,0
570943,8.9,0,0
575957,9.16,0,0
580942,9.04,0,0
585954,8.74,0,0
590942,7.04,0,0
595956,8.99,1,0
600941,8.85,0,0
605958,9.05,0,0
610940,8.74,1,0
615950,8.81,0,0
620942,8.63,1,0
625954,9.2,1,0
630941,9.33,0,0
